type,adname,location,name,address
风景名胜;风景名胜;风景名胜,大邑县,"103.264220,30.586329",天宫庙镇,天宫庙综合市场(大双路东)
风景名胜;风景名胜;风景名胜,郫都区,"103.879680,30.867250",玉皇观,郫都区云金路
风景名胜;风景名胜;风景名胜,金堂县,"104.493217,30.862573",三学寺村,川锅厂-枯井桠
风景名胜;风景名胜;风景名胜,彭州市,"103.865649,31.323024",天王大殿,宝山村龙门山风景旅游区九峰山风景名胜区内
风景名胜;风景名胜;风景名胜,彭州市,"104.133163,30.940759",五祚坟,物流大道东段
风景名胜;风景名胜;纪念馆,崇州市,"103.626999,30.730461",王国英故居,涌泉街69号
风景名胜;风景名胜;风景名胜,锦江区,"104.084897,30.654591",太古里东广场-大慈雪庐,中纱帽街8号太古里大慈寺大慈东院
风景名胜;风景名胜相关;旅游景点,都江堰市,"103.583955,30.894670",赤城阁,青城山路南50米
风景名胜;风景名胜;风景名胜,金牛区,"104.047779,30.717891",饿虎长龙,新泉路88号
风景名胜;风景名胜;风景名胜,锦江区,"104.084122,30.654921",大慈寺-藏经殿,北纱帽街与大慈寺路交叉口东南150米
风景名胜;风景名胜;风景名胜,彭州市,"103.833754,31.088194",丹景山-审魂殿,彭白路丹景山风景名胜区天师宫内
风景名胜;风景名胜相关;旅游景点,都江堰市,"103.611250,30.998490",都江堰宝灌一千万亩纪念碑,离堆公园路都江堰景区内
风景名胜;风景名胜;风景名胜,大邑县,"103.617622,30.498900",四川建川博物馆聚落-国防兵器馆,古镇迎宾路80号(近金桂公馆酒店)建川博物馆聚落内
风景名胜;风景名胜;风景名胜,都江堰市,"103.619300,31.002314",魁星阁,东北海拔七百六十二米金龟山顶
风景名胜;风景名胜;风景名胜,双流区,"104.079764,30.419103",中国西部国际博览城14展厅-16展厅,正兴镇三心桥
风景名胜;风景名胜;风景名胜,大邑县,"103.163150,30.644713",西岭雪山大飞水景区-两溪口亭,西岭镇西岭雪山国家级风景名胜区前山两溪口内
风景名胜;风景名胜;风景名胜,邛崃市,"103.108484,30.262546",明代照壁,天台山镇天台山国家重点风景名胜区雷音寺内
风景名胜;风景名胜;风景名胜,彭州市,"103.833378,31.088141",丹景山-天师宫,彭白路丹景山风景名胜区内
风景名胜;风景名胜相关;旅游景点,彭州市,"103.833173,31.088178",丹景山-财神殿,彭白路丹景山风景名胜区天师宫内
风景名胜;风景名胜;风景名胜,彭州市,"103.831088,31.090077",丹景山-送子殿,彭白路丹景山风景名胜区净水寺内
风景名胜;风景名胜;风景名胜,青羊区,"104.043075,30.661014",文化公园-文昌殿,一环路西二段9号青羊宫二仙庵内
风景名胜;风景名胜;寺庙道观,都江堰市,"103.615291,31.000339",都江堰景区-财神殿,郊幸福路271号玉垒山公园附近
风景名胜;风景名胜;寺庙道观,都江堰市,"103.615291,31.000218",都江堰景区-娘娘殿,郊幸福路271号玉垒山公园附近
科教文化服务;展览馆;展览馆,都江堰市,"103.622980,31.004773",四川农业大学都江堰校区竹类展示馆,建设路288号
风景名胜;风景名胜相关;旅游景点,都江堰市,"103.613091,30.997867",花洲栈道,离堆公园路都江堰景区内
体育休闲服务;休闲场所;休闲场所,都江堰市,"103.689154,31.135697",瓦子坪风情小镇,白八路东50米
风景名胜;风景名胜;风景名胜,邛崃市,"103.464871,30.410342",兴贤牌坊,兴贤街与兴贤街步行街交叉口东50米
风景名胜;风景名胜;风景名胜,都江堰市,"103.609390,31.005997",都江堰景区-安澜索桥陈列室,离堆公园路都江堰景区内
科教文化服务;展览馆;展览馆,邛崃市,"103.466247,30.415363",邛崃民俗馆,市北街211号
地名地址信息;普通地名;村庄级地名,新津县,"103.797305,30.419331",黄鹤楼(黄鹤大道),新津县
风景名胜;风景名胜;风景名胜,蒲江县,"103.376299,30.208481",周茶园,甘成路附近
风景名胜;风景名胜;风景名胜,双流区,"104.061985,30.513797",安公堤,华阳彤济医院对面
风景名胜;风景名胜相关;旅游景点,都江堰市,"103.573110,30.896717",青城山天师殿,青城山镇青城村2组青城山
风景名胜;风景名胜;风景名胜,郫都区,"103.776170,30.835610",扬雄墓(装修中),墓前路西50米
